Designator,Footprint,Quantity,Value,LCSC Part #
AE1,Johanson_2450AT18x100,1,Antenna,C127629
"C1, C14, C17, C2, C21, C3, C5",0402,7,1u,C52923
"C10, C11, C6, C9",0805,4,10u,C440198
"C12, C13",0402,2,1p2,C76899
C15,0402,1,10u,C15525
"C16, C18, C19, C20, C8",0402,5,0u1,C307331
"C4, C7",0402,2,12p,C1547
"D1, D2, D4",Diode_DFN1006,3,H5VU10U,C22395519
"D3, D5",D_SMA,2,D_Schottky,C22452
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_14P,C393939
L1,0402,1,24n,C167472
L2,0402,1,6n8,C77110
"L4, L5",0402,2,2n7,C77108
"R1, R13, R16, R2, R3, R7, R8, R9",0402,8,10k,C25744
R10,0402,1,0,C17168
R11,0603,1,5k1,C23186
R12,0603,1,750,C23241
"R14, R15",0402,2,22,C25092
"R4, R5",0402,2,5k1,C25905
R6,0402,1,47k,C25792
"SW1, SW2",SW_SPST_TS-1088-xR020,2,SW_Push,C720477
"U1, U2, U3, U4",SOT-23-5,4,SN74LV1T125DBV,C473338
U5,TPSM84338,1,TPSM84338,C47122151
U6,QFN-56-1EP_7x7mm_P0.4mm_EP4x4mm_ThermalVias,1,ESP32-S3FN8,C3013940
Y1,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,48M,C7206306
